shape,label,knob,kappa,S0,words,fill
czech_13x13_reader,czech_13x13_reader @θ36,frequency,1.0416371967822606,-25.989576843513532,85805,False
gen_11x11,gen_11x11 @θ36,frequency,0.949817971528728,25.903359546557567,85805,True
gen_9x9,gen_9x9 @θ36,frequency,0.8567789014713814,53.7775963779016,85805,True
czech_13x13_reader,czech_13x13_reader @θ40,frequency,1.1038528832158683,-61.06392898014815,46897,False
gen_11x11,gen_11x11 @θ40,frequency,1.0008632697302584,-0.42287930651093575,46897,False
gen_9x9,gen_9x9 @θ40,frequency,0.8940719599085937,37.9887222442203,46897,True
czech_13x13_reader,czech_13x13_reader @θ44,frequency,1.188270308159319,-102.56063426138212,23794,False
gen_11x11,gen_11x11 @θ44,frequency,1.0700332402457036,-31.97873398438003,23794,False
gen_9x9,gen_9x9 @θ44,frequency,0.9456162564400767,18.295056245488183,23794,True
czech_13x13_reader,czech_13x13_reader @θ48,frequency,1.3051402487543426,-149.8520300202856,11053,False
gen_11x11,gen_11x11 @θ48,frequency,1.1699375734366746,-70.41135063170799,11053,False
gen_9x9,gen_9x9 @θ48,frequency,1.0224689808089755,-6.88662842827847,11053,False
czech_13x13_reader,czech_13x13_reader @θ52,frequency,1.5100819745623102,-208.502512666031,4670,False
gen_11x11,gen_11x11 @θ52,frequency,1.332364993460509,-117.15545469876832,4670,False
gen_9x9,gen_9x9 @θ52,frequency,1.138034525048654,-37.141287825132395,4670,False
